tick,cur_x,cur_y,cur_yaw,target_x,target_y,target_yaw,force_x,force_y,v_cmd,w_cmd,cur_v
462, 0.2651, 8.3437, -1.4164, 0.0000, 0.0000, 0.0000, -0.0003, -0.3473, 0.2000, -0.6000, 0.2000
463, 0.2651, 8.3437, -1.4164, 0.0000, 0.0000, 0.0000, -0.0003, -0.3473, 0.2000, 0.6000, 0.2000
464, 0.2655, 8.3415, -1.4186, 0.0000, 0.0000, 0.0000, -0.0003, -1.0045, 0.2000, -0.6000, 0.2000
465, 0.2655, 8.3415, -1.4186, 0.0000, 0.0000, 0.0000, -0.0003, -1.0045, 0.2000, 0.6000, 0.2000
466, 0.2655, 8.3415, -1.4186, 0.0000, 0.0000, 0.0000, -0.0003, -1.0045, 0.2000, -0.6000, 0.2000
467, 0.2658, 8.3393, -1.4164, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
468, 0.2658, 8.3393, -1.4164, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
469, 0.2662, 8.3371, -1.4187, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
470, 0.2662, 8.3371, -1.4187, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
471, 0.2662, 8.3371, -1.4187, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
472, 0.2665, 8.3349, -1.4165, 0.0000, 0.0000, 0.0000, -0.0015, 1.0518, 0.2000, -0.6000, 0.2000
473, 0.2665, 8.3349, -1.4165, 0.0000, 0.0000, 0.0000, -0.0015, 1.0518, 0.2000, 0.6000, 0.2000
474, 0.2665, 8.3349, -1.4165, 0.0000, 0.0000, 0.0000, -0.0015, 1.0518, 0.2000, -0.6000, 0.2000
475, 0.2668, 8.3326, -1.4102, 0.0000, 0.0000, 0.0000, -0.0007, 1.0629, 0.2000, 0.6000, 0.2000
476, 0.2668, 8.3326, -1.4102, 0.0000, 0.0000, 0.0000, -0.0007, 1.0629, 0.2000, -0.6000, 0.2000
477, 0.2672, 8.3304, -1.4125, 0.0000, 0.0000, 0.0000, -0.0007, 1.0629, 0.2000, 0.6000, 0.2000
478, 0.2672, 8.3304, -1.4125, 0.0000, 0.0000, 0.0000, -0.0015, 0.8178, 0.2000, -0.6000, 0.2000
479, 0.2672, 8.3304, -1.4125, 0.0000, 0.0000, 0.0000, -0.0015, 0.8178, 0.2000, 0.6000, 0.2000
480, 0.2676, 8.3282, -1.4103, 0.0000, 0.0000, 0.0000, -0.0015, 0.8178, 0.2000, -0.6000, 0.2000
481, 0.2676, 8.3282, -1.4103, 0.0000, 0.0000, 0.0000, -0.0003, 1.0181, 0.2000, 0.6000, 0.2000
